address,amount
0xc600596a9691b5b0ea1212413a8dc23197e68517,15000
0xa26c096f4316f8d04dede21f80bb9a2da43f59d4,15000
0x982d76ef7a91c6d9266bc5058ee94face172aad7,15000
0x4e855b2b96cf5064ab25f796d80135ff291de3aa,15000
0xd4157821397dd204f3c9470da6fa8ca12323e78a,15000
0x8afd54063967469bb07deb681266bab4b532363d,15000
0xc3ed8ae8ea26a7d172c7e32cb495d6a1206a7d84,15000
0xb6073fc0fbaab6b721c8653a297235f602929c91,15000
0x49009539f74d50e1b244c5de6c901178d2e3ed31,15000
0x26f2667dcb9d2e2ef372fecb655379fd97b88830,15000
0x75e3136c8f495c9daea991fbf831dd78ebc9685c,15000
0x2104c6d0397ad8d9f4ff7403218dd753c9e82b97,15000
0xd6f6ede17da07306a2e55fcc3818d7a0f0d1ec7b,15000
0xd598d0141c85fa97e4143d33992f2586c8a61513,15000
0x37ad9b15ddde69aea14304244dac7c01e3347b9f,15000
0x52be967fdb52658d3dbfc36a1ffc98b3fdc5fda8,15000
0x0a8eafe9d16d538828dabd87e6f029dbae010901,15000
0x4b58957dff34e55b10d07fa447636d6e8b4f1d41,15000
